"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2020&sourcekey=0"
"Tue Apr 12 2022 16:56:31 GMT+0100 (British Summer Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Diesel Fuel (distillate fuel oil),"Energy Prices: Transportation: Diesel Fuel": Reference case,3-AEO2020.30.ref2020-d112119a,"2019 $/MMBtu",22.110788,21.343925,21.45623,21.792423,21.917566,22.312809,22.445829,22.857292,22.914766,23.266224,23.483311,23.973053,24.241781,24.41762,24.810474,25.010679,25.234774,25.49099,25.664202,25.881092,26.103443,26.104603,26.271511,26.65584,26.817507,27.02726,27.39843,27.414787,27.670738,27.905582,28.076466,28.233942,"0.8%"
Residual Fuel Oil,"Energy Prices: Transportation: Residual Fuel Oil": Reference case,3-AEO2020.31.ref2020-d112119a,"2019 $/MMBtu",9.577926,10.569046,10.419721,10.188439,8.914288,9.209413,9.45722,10.10476,10.913877,11.290391,11.574986,11.016311,11.238101,11.303734,11.559741,11.693218,12.392017,12.827141,12.921617,13.491559,13.652015,13.829222,13.942467,13.968139,14.613647,14.869235,14.895741,15.526525,15.824721,16.030634,16.223696,15.660544,"1.6%"
Natural Gas,"Energy Prices: Transportation: Natural Gas": Reference case,3-AEO2020.32.ref2020-d112119a,"2019 $/MMBtu",13.698598,13.285862,12.658551,12.415777,12.426675,12.301192,12.310215,12.265231,12.143968,11.942882,11.674177,12.09702,11.824804,11.655065,11.651948,11.562686,11.455206,11.366446,11.344866,11.310649,11.269885,11.222148,11.174136,11.160277,11.142838,11.134161,11.127587,11.152503,11.190495,11.209865,11.23153,11.277456,"-0.6%"
Electricity,"Energy Prices: Transportation: Electricity": Reference case,3-AEO2020.33.ref2020-d112119a,"2019 $/MMBtu",33.252598,33.912785,33.971561,34.360657,34.89761,35.386074,36.138538,36.758362,37.028301,36.980328,36.851902,36.70306,36.648472,36.629833,36.830044,36.91164,36.571808,36.300903,36.140179,36.02697,35.831085,35.613167,35.422935,35.253876,34.979267,34.808914,34.676598,34.547211,34.415016,34.257465,34.011459,33.77932,"0.1%"
Electric Power,,3-AEO2020.35.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Prices: Electric Power: Distillate Fuel Oil": Reference case,3-AEO2020.36.ref2020-d112119a,"2019 $/MMBtu",21.897861,21.309484,20.57196,20.00329,19.325447,18.920959,18.257519,18.481485,18.433384,18.729416,18.922249,19.024334,19.197624,19.347914,19.723099,19.970982,20.210882,20.487949,20.628559,20.729315,20.974581,21.028313,21.227438,21.605209,21.756472,21.953362,22.352627,22.440077,22.802755,23.1485,23.37958,23.534092,"0.2%"
Residual Fuel Oil,"Energy Prices: Electric Power: Residual Fuel Oil": Reference case,3-AEO2020.37.ref2020-d112119a,"2019 $/MMBtu",12.40038,11.553703,13.360313,13.389486,13.319341,13.42602,13.603244,13.720045,14.009251,14.021473,14.408879,14.623139,14.886125,15.028307,15.293097,15.457555,15.666325,15.853258,16.036594,16.209066,16.439095,16.653212,16.763474,16.934118,16.96644,16.946861,16.844774,17.097082,17.251614,17.489197,17.715216,17.967491,"1.2%"
Natural Gas,"Energy Prices: Electric Power: Natural Gas": Reference case,3-AEO2020.38.ref2020-d112119a,"2019 $/MMBtu",2.85879,2.651217,2.817289,2.811531,2.881649,3.030689,3.307202,3.516105,3.647542,3.712507,3.701732,3.631112,3.59797,3.623174,3.689995,3.743716,3.73844,3.73548,3.774059,3.795168,3.800999,3.807131,3.803203,3.81251,3.822264,3.83895,3.851938,3.894858,3.949467,3.985636,4.008594,4.065257,"1.1%"
Steam Coal,"Energy Prices: Electric Power: Steam Coal": Reference case,3-AEO2020.39.ref2020-d112119a,"2019 $/MMBtu",2.048339,2.058763,2.025556,1.997577,1.975647,1.96913,1.95202,1.959999,1.973998,1.956862,1.958207,1.956258,1.954629,1.951653,1.958434,1.959235,1.953764,1.95379,1.959053,1.956042,1.954679,1.947999,1.947827,1.949921,1.951683,1.952097,1.954712,1.952267,1.954197,1.95353,1.951243,1.950768,"-0.2%"
Uranium,"Energy Prices: Electric Power: Uranium": Reference case,3-AEO2020.40.ref2020-d112119a,"2019 $/MMBtu",0.676258,0.678339,0.679379,0.68042,0.682501,0.683541,0.685622,0.686662,0.687703,0.688743,0.690824,0.692905,0.693945,0.696026,0.698107,0.699147,0.701228,0.703309,0.704349,0.70643,0.708511,0.710591,0.711632,0.713712,0.715793,0.717874,0.719955,0.722036,0.724117,0.726197,0.728278,0.730359,"0.2%"
Average Price to All Users,,3-AEO2020.44.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Average Price to All Users: Propane": Reference case,3-AEO2020.45.ref2020-d112119a,"2019 $/MMBtu",18.517338,17.795782,18.164116,18.891821,19.47764,20.115549,20.967056,21.841379,22.424021,22.825674,23.067327,23.235031,23.271036,23.351419,23.62575,23.87743,24.152052,24.470886,24.818119,25.156733,25.476082,25.756554,26.017603,26.396612,26.704369,27.004362,27.302423,27.59053,27.952341,28.331856,28.642916,28.93576,"1.5%"
E85,"Energy Prices: Average Price to All Users: E85": Reference case,3-AEO2020.46.ref2020-d112119a,"2019 $/MMBtu",24.537947,24.243864,29.909515,28.426769,28.618099,28.520075,27.862692,27.936611,28.16201,28.425083,28.713608,30.057896,30.388205,30.54878,31.208534,31.695507,32.776066,32.66156,32.834831,33.766201,34.771797,35.608723,35.916092,37.47979,37.935295,38.346237,38.771313,39.264046,42.460052,43.544437,43.591911,43.892014,"1.9%"
Motor Gasoline,"Energy Prices: Average Price to All Users: Motor Gasoline": Reference case,3-AEO2020.47.ref2020-d112119a,"2019 $/MMBtu",22.152426,21.94087,21.968946,21.978165,21.89427,21.607965,21.857471,22.043116,22.312281,22.424955,22.720831,23.424423,23.588041,23.796984,24.220589,24.60873,24.865734,25.162941,25.240604,25.517138,25.858952,25.951355,26.136623,26.539719,26.75515,26.964806,27.311302,27.396849,27.872746,28.194441,28.439672,28.648949,"0.8%"
Jet Fuel,"Energy Prices: Average Price to All Users: Jet Fuel": Reference case,3-AEO2020.48.ref2020-d112119a,"2019 $/MMBtu",14.641048,14.44945,14.469915,14.677915,14.784328,15.181978,15.254274,15.71048,15.739541,16.214653,16.425371,16.66482,17.012842,17.18742,17.583839,17.868292,18.13835,18.383089,18.62429,18.83005,19.106794,19.197943,19.450199,19.834574,20.040815,20.276285,20.70055,20.752966,21.175344,21.518599,21.76668,21.858753,"1.3%"
Distillate Fuel Oil,"Energy Prices: Average Price to All Users: Distillate Fuel Oil": Reference case,3-AEO2020.49.ref2020-d112119a,"2019 $/MMBtu",22.055973,21.332649,21.307634,21.509706,21.507311,21.769125,21.766514,22.167187,22.215662,22.55971,22.7668,23.137453,23.400127,23.565245,23.939878,24.132757,24.353363,24.599989,24.760366,24.966681,25.188585,25.189915,25.361546,25.739941,25.903061,26.1014,26.471901,26.487108,26.746401,26.98501,27.152634,27.305868,"0.7%"
Residual Fuel Oil,"Energy Prices: Average Price to All Users: Residual Fuel Oil": Reference case,3-AEO2020.50.ref2020-d112119a,"2019 $/MMBtu",9.750307,10.19247,10.271381,10.173702,9.183429,9.554516,9.876921,10.457724,11.210336,11.536976,11.842731,11.37082,11.605115,11.676685,11.933399,12.064242,12.69766,13.116432,13.224297,13.736769,13.914393,14.113455,14.229108,14.283981,14.843826,15.073577,15.086976,15.677839,15.942997,16.14673,16.344221,15.920506,"1.6%"
Natural Gas,"Energy Prices: Average Price to All Users: Natural Gas": Reference case,3-AEO2020.51.ref2020-d112119a,"2019 $/MMBtu",5.031696,4.760718,4.847678,4.833207,4.868649,4.979748,5.198734,5.40272,5.552284,5.63208,5.643917,5.679059,5.637339,5.647746,5.714075,5.742004,5.739636,5.729753,5.761975,5.780482,5.784865,5.781797,5.783163,5.796995,5.807943,5.825001,5.848293,5.887419,5.931022,5.951627,5.972738,6.017784,"0.6%"
Metallurgical Coal,"Energy Prices: Average Price to All Users: Metallurgical Coal": Reference case,3-AEO2020.52.ref2020-d112119a,"2019 $/MMBtu",4.135304,3.715267,3.476051,3.314668,3.226584,3.228791,3.233289,3.237639,3.26661,3.294532,3.334714,3.367346,3.405218,3.442147,3.475353,3.513103,3.546413,3.577275,3.610275,3.640216,3.675331,3.706488,3.746972,3.783088,3.822762,3.857581,3.895384,3.93132,3.97163,4.008956,4.049924,4.087855,"-0.0%"
Other Coal,"Energy Prices: Average Price to All Users: Other Coal": Reference case,3-AEO2020.53.ref2020-d112119a,"2019 $/MMBtu",2.081845,2.091125,2.065455,2.041764,2.025612,2.021754,2.010812,2.016129,2.030577,2.014867,2.017033,2.015833,2.014559,2.011771,2.017367,2.018418,2.013567,2.014307,2.019749,2.017883,2.017494,2.01182,2.012718,2.015642,2.018003,2.018809,2.022332,2.01997,2.022497,2.022578,2.021513,2.021565,"-0.1%"
Coal to Liquids,"Energy Prices: Average Price to All Users: Coal to Liquids": Reference case,3-AEO2020.54.ref2020-d112119a,"2019 $/MMBtu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Electricity,"Energy Prices: Average Price to All Users: Electricity": Reference case,3-AEO2020.55.ref2020-d112119a,"2019 $/MMBtu",30.454449,29.931808,29.732624,29.657566,29.663189,29.849365,30.250845,30.593702,30.753353,30.63155,30.452465,30.394573,30.270491,30.131779,30.234314,30.257355,30.084644,29.993071,29.893633,29.942001,29.852777,29.694433,29.642439,29.567022,29.472883,29.460825,29.398705,29.313385,29.3195,29.242496,29.110025,29.024153,"-0.2%"
Non-Renewable Energy Expenditures by Sector,,3-AEO2020.57.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(billion 2019 dollars),,3-AEO2020.58.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,"Energy Expenditures: Non-Renewable Residential": Reference case,3-AEO2020.59.ref2020-d112119a,"billion 2019 $",254.57782,244.99707,249.240814,249.161713,249.647751,251.505005,254.461716,257.765167,259.825745,260.559814,260.90564,262.729919,262.996033,263.69931,266.159698,268.106476,268.8479,270.045654,271.527771,273.669128,274.980682,275.868103,277.469635,278.905304,280.38678,282.309509,284.186066,285.848785,288.189606,289.915802,291.345062,292.96405,"0.5%"
Commercial,"Energy Expenditures: Non-Renewable Commercial": Reference case,3-AEO2020.60.ref2020-d112119a,"billion 2019 $",188.964478,184.004272,186.101746,187.333588,187.99173,189.820374,193.238831,196.030121,197.718735,197.957474,197.930664,199.436111,199.504547,199.600494,201.77681,203.145355,203.429169,204.180557,205.048645,206.94574,208.021912,208.295288,209.649078,211.129715,212.202148,214.002411,215.723541,217.155884,219.672333,221.520859,223.213837,225.257767,"0.6%"
Industrial,"Energy Expenditures: Non-Renewable Industrial": Reference case,3-AEO2020.61.ref2020-d112119a,"billion 2019 $",185.422699,178.381912,182.648346,189.650345,194.596268,201.136414,209.503708,218.953568,224.503983,229.356842,233.07663,235.328064,237.866608,241.100082,246.348206,251.276855,255.499405,259.636749,264.097748,268.846466,272.751099,276.637482,281.242981,287.342285,292.056396,297.194397,302.942535,307.614227,314.418854,320.706482,326.672363,331.651184,"1.9%"
Transportation,"Energy Expenditures: Non-Renewable Transportation": Reference case,3-AEO2020.62.ref2020-d112119a,"billion 2019 $",573.600525,568.383484,565.542175,562.869568,554.984497,547.631592,545.636597,547.968384,547.874573,549.478516,551.975342,561.890137,564.453613,566.169434,573.639648,579.270203,583.330078,588.453491,590.227783,595.514709,602.199829,604.504456,610.053345,620.822815,627.826843,635.345154,646.750671,651.491699,664.919739,675.779907,684.925049,692.677246,"0.6%"
Total Non-Renewable Expenditures,"Energy Expenditures: Total Non-Renewable": Reference case,3-AEO2020.63.ref2020-d112119a,"billion 2019 $",1202.56543,1175.766724,1183.533081,1189.015137,1187.220215,1190.093384,1202.84082,1220.717285,1229.923096,1237.352661,1243.888306,1259.384277,1264.820801,1270.569336,1287.924316,1301.798828,1311.106567,1322.316406,1330.901978,1344.976074,1357.953491,1365.30542,1378.415039,1398.200195,1412.472168,1428.851562,1449.602783,1462.110596,1487.200439,1507.923096,1526.15625,1542.550293,"0.8%"
Transportation Renewable Expenditures,"Energy Expenditures: Renewable Transportation": Reference case,3-AEO2020.64.ref2020-d112119a,"billion 2019 $",0.366889,0.467567,0.614414,0.696275,0.664171,0.648473,0.678436,0.685883,0.678418,0.654152,0.644678,0.747304,0.714337,0.707929,0.70504,0.679125,0.638635,0.650875,0.647421,0.617771,0.573572,0.536313,0.5338,0.494257,0.485867,0.477412,0.475,0.458755,0.352987,0.343122,0.418635,0.419224,"0.4%"
Total Expenditures,"Energy Expenditures": Reference case,3-AEO2020.65.ref2020-d112119a,"billion 2019 $",1202.932373,1176.234253,1184.147461,1189.711426,1187.884399,1190.741821,1203.519287,1221.403198,1230.601562,1238.006836,1244.532959,1260.131592,1265.535156,1271.277222,1288.629395,1302.477905,1311.745239,1322.967285,1331.549438,1345.593872,1358.5271,1365.841675,1378.948853,1398.694458,1412.958008,1429.328979,1450.077759,1462.569336,1487.553467,1508.266235,1526.574829,1542.969482,"0.8%"
Prices in Nominal Dollars,,3-AEO2020.68.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential,,3-AEO2020.69.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Nominal: Residential: Propane": Reference case,3-AEO2020.70.ref2020-d112119a,"nom $/MMBtu",21.367119,21.618206,22.531422,23.864519,25.217535,26.659937,28.390568,30.307848,32.058723,33.636082,35.016575,36.341755,37.365486,38.410633,39.705917,41.038353,42.45998,44.001659,45.660637,47.389061,49.15134,50.913963,52.704903,54.716995,56.737774,58.823372,60.987629,63.209362,65.640076,68.240692,70.851845,73.470604,"4.1%"
Distillate Fuel Oil,"Energy Prices: Nominal: Residential: Distillate Fuel Oil": Reference case,3-AEO2020.71.ref2020-d112119a,"nom $/MMBtu",21.885006,21.816368,22.706295,23.891071,24.914602,26.236921,27.333422,28.404146,29.12006,30.240423,31.213966,32.091206,33.175022,34.137524,35.347324,36.414562,37.517334,38.703312,39.791508,41.006065,42.280018,43.240593,44.532555,46.173733,47.519791,48.976398,50.777573,52.066551,53.802559,55.653099,57.388893,59.067146,"3.3%"
Natural Gas,"Energy Prices: Nominal: Residential: Natural Gas": Reference case,3-AEO2020.72.ref2020-d112119a,"nom $/MMBtu",10.40076,10.257607,10.642925,10.828965,11.050292,11.337504,11.745838,12.241884,12.734653,13.173722,13.559743,14.225189,14.547372,14.931061,15.454808,15.903148,16.299015,16.668936,17.149611,17.616117,18.072695,18.521627,19.015348,19.519623,20.034767,20.557695,21.151814,21.759796,22.429321,23.069717,23.782661,24.487997,"2.8%"
Electricity,"Energy Prices: Nominal: Residential: Electricity": Reference case,3-AEO2020.73.ref2020-d112119a,"nom $/MMBtu",36.809517,37.214504,38.336514,39.341347,40.528248,41.884659,43.447845,45.039616,46.421391,47.47781,48.44194,49.609001,50.618771,51.619141,52.940598,54.167728,55.077263,56.133198,57.204315,58.539497,59.679455,60.745285,62.016693,63.249836,64.538292,66.018661,67.448456,68.838249,70.460709,71.98101,73.383873,74.872879,"2.3%"
Commercial,,3-AEO2020.75.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Nominal: Commercial: Propane": Reference case,3-AEO2020.76.ref2020-d112119a,"nom $/MMBtu",17.532707,16.863247,17.735521,18.98185,20.008646,21.09004,22.465775,23.896713,24.966574,25.873932,26.641708,27.45067,28.08338,28.818703,29.863491,30.863138,31.907017,33.038345,34.244061,35.464264,36.680355,37.871372,39.084557,40.556793,41.938141,43.365128,44.85141,46.370384,48.100456,49.929462,51.677616,53.429253,"3.7%"
Distillate Fuel Oil,"Energy Prices: Nominal: Commercial: Distillate Fuel Oil": Reference case,3-AEO2020.77.ref2020-d112119a,"nom $/MMBtu",21.969456,21.898117,21.762962,21.861473,21.752172,21.885168,21.721699,22.679213,23.264986,24.249495,25.085144,26.215414,27.167328,27.998455,29.162941,30.093756,31.074348,32.13163,33.077209,34.14674,35.279793,36.092056,37.230537,38.717289,39.90731,41.185139,42.833702,43.93079,45.518089,47.162025,48.704704,50.202343,"2.7%"
Residual Fuel Oil,"Energy Prices: Nominal: Commercial: Residual Fuel": Reference case,3-AEO2020.78.ref2020-d112119a,"nom $/MMBtu",6.359512,3.708078,5.339539,6.773304,8.232192,9.86309,11.638453,11.905842,12.636255,12.850498,13.718299,14.23298,14.977437,15.450844,16.144083,16.63645,17.354462,18.064016,18.6703,19.381407,20.279617,21.261656,22.258812,23.119781,24.023529,24.851534,25.587856,26.82019,27.543695,28.537485,29.656677,31.069139,"5.3%"
