state,row,col,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,diff,majority,mid_val
PA,2,7,High NG Price,v6.2jedi_low,0.041069274524504484,Electrification,v6.2jedi_high,-0.49879934816184524,1,0.9375,-0.26590853108256396
VA,3,7,Low Nuclear CCS Cost,v6.2jedi_low,0.51681225044537,Reduced RE Resource,v6.2jedi_high,0.035081473805921304,0,1.0,0.1640300832153972
SC,4,7,Electrification EnhancedFlex,v6.2jedi_low,1.1518784164304012,PTC ITC Ext,v6.2jedi_high,-0.010644254825264987,1,0.9375,0.42695983887217004
GA,5,7,Low Nuclear CCS Cost,v6.2jedi_high,0.6648801351390277,Electrification,v6.2jedi_high,0.015279809698580005,0,1.0,0.2649890761645842
VT,0,8,Electrification,v6.2jedi_low,5.1602507336750385,Low Trans,v6.2jedi_low,-0.5358879771227185,1,0.875,2.492813227384576
NY,1,8,PTC ITC Ext,v6.2jedi_low,0.22740816402945468,High NG Price,v6.2jedi_low,-0.07168399107585244,1,0.75,0.05950976883673681
NJ,2,8,PTC ITC Ext,v6.2jedi_high,0.3195768793584675,Low Demand Growth,v6.2jedi_low,0.036352164947942134,0,1.0,0.19267394748712163
MD,3,8,Electrification,v6.2jedi_low,-0.048783017948496155,High RE Cost,v6.2jedi_low,-0.35890743717491214,0,1.0,-0.19874673183833425
FL,6,8,Low Nuclear CCS Cost,v6.2jedi_low,1.08429090130102,High NG Price,v6.2jedi_high,0.08156456513059451,0,1.0,0.5995319460011188
NH,0,9,High RE Cost,v6.2jedi_low,1.0954804730292402,High NG Price,v6.2jedi_low,-0.59844321812194,1,0.875,0.4165258436547097
MA,1,9,Reduced RE Resource,v6.2jedi_low,0.2062009673014436,Low RE Cost,v6.2jedi_high,0.011970894773905227,0,1.0,0.13468586634353588
CT,2,9,High Demand Growth,v6.2jedi_high,0.24696732034344926,High RE Cost,v6.2jedi_high,-0.007848205818350662,1,0.9375,0.10732824799553053
DE,3,9,Mid Case,v6.2jedi_high,5.415271187009255,Low RE Cost,v6.2jedi_high,-0.11362283879246249,1,0.9375,5.411408046490218
ME,0,10,Reduced RE Resource,v6.2jedi_low,1.5569430009278444,Low Trans,v6.2jedi_high,-0.03890696583489528,1,0.9375,0.16531578143969206
RI,2,10,Low Nuclear CCS Cost,v6.2jedi_low,0.058523919491260346,Electrification,v6.2jedi_high,-0.035522368681043,1,0.75,-0.004507920922537434
